instance family glasgow hybrid-checking hybrid-always hybrid-rbj hybrid-never
si4_m4Dr6_m256.08 6 7 9 9 9 9
si4_m4Dr6_m256.03 6 6 7 7 7 7
si4_m4Dr6_m256.06 6 6 4 4 4 4
si4_m4Dr6_m256.09 6 6 5 5 5 5
si4_m4Dr6_m256.07 6 9 44 18 44 18
si4_m4Dr6_m256.02 6 6 3 3 3 3
si4_m4Dr6_m256.04 6 11 6 6 6 6
si2_b03m_m400.02 4 4 8 8 8 8
si2_b03m_m400.00 4 7 16 16 16 16
si2_b03m_m400.01 4 4 21 21 21 21
si2_b03m_m400.05 4 7 13 13 13 13
si2_b03m_m400.08 4 7 20 20 20 20
si2_b03m_m400.07 4 4 25 25 25 25
si2_b03m_m400.09 4 6 24 24 24 24
si2_b03m_m400.03 4 4 16 16 16 16
si2_b03m_m400.04 4 4 24 24 24 24
si2_b03m_m400.06 4 4 26 26 26 26
si2_b03m_m200.05 4 1 3 3 3 3
si2_b03m_m200.03 4 2 16 16 16 16
si2_b03m_m200.00 4 1 6 7 7 6
si2_b03m_m200.08 4 1 4 4 4 4
si2_b03m_m200.06 4 1 8 7 7 8
si2_b03m_m200.02 4 1 14 14 14 14
si2_b03m_m200.09 4 2 8 8 8 8
si2_b03m_m200.04 4 1 16 16 16 16
si2_b03m_m200.01 4 2 15 15 15 15
si2_b03m_m200.07 4 1 13 13 13 13
si4_r001_m200.04 7 5 23 19 23 23
si4_r001_m200.07 7 3 23 20 23 23
si4_r001_m200.00 7 3 32 27 32 32
si4_r001_m200.01 7 5 27 28 27 27
si4_r001_m200.03 7 5 26 26 26 26
si4_r001_m200.06 7 5 17 16 17 17
si4_r001_m200.05 7 5 34 28 34 33
si4_r001_m200.08 7 5 26 26 26 26
si4_r001_m200.09 7 6 224 71 224 66
si4_r001_m200.02 7 5 67 34 67 36
si2_m4D_m256.08 5 5 40 31 40 22
si2_m4D_m256.03 5 6 4 6 4 4
si2_m4D_m256.02 5 3 7 6 7 7
si2_m4D_m256.06 5 3 4 6 4 4
si2_m4D_m256.04 5 2 3 3 3 3
si2_m4D_m256.07 5 3 6 7 6 6
si2_m4D_m256.01 5 4 7 7 7 7
si2_m4D_m256.09 5 3 10 9 10 8
si2_m4D_m256.00 5 3 7 9 7 7
si2_m4D_m256.05 5 4 7 7 7 7
si6_r01_m400.04 7 794 4342 NaN 4342 NaN
si6_r01_m400.08 7 967 2781 NaN 2781 NaN
si6_r01_m400.07 7 744 16 7 16 8
si6_r01_m400.06 7 1387 1351 249 1351 249
si6_r01_m400.05 7 1568 20831 NaN 20831 NaN
si6_r01_m400.02 7 801 8651 NaN 8651 NaN
si6_r01_m400.00 7 1156 9578 NaN 9578 NaN
si6_r01_m400.03 7 2287 31146 NaN 31146 NaN
si6_r01_m400.01 7 2088 19705 NaN 19705 NaN
si6_r01_m400.09 7 4287 33617 NaN 33617 NaN
si2_m4Dr4_m625.07 6 19 15 13 15 14
si2_m4Dr4_m625.02 6 16 25 25 25 25
si2_m4Dr4_m625.03 6 15 6 6 6 6
si2_m4Dr4_m625.00 6 25 9 9 9 9
si2_m4Dr4_m625.05 6 16 9 9 9 9
si2_m4Dr4_m625.06 6 29 24 23 24 23
si2_m4Dr4_m625.09 6 617 63425 486 63425 633
si2_m4Dr4_m625.01 6 18 32 27 32 27
si2_m4Dr4_m625.08 6 31 423 28 423 30
si2_m4Dr4_m625.04 6 22 203 119 203 88
si4_r01_m400.01 7 1678 19094 NaN 19094 NaN
si4_r01_m400.08 7 485 1245 217 1245 207
si4_r01_m400.02 7 3902 2312 NaN 2312 879
si4_r01_m400.03 7 4841 181704 NaN 181704 NaN
si4_r01_m400.07 7 403 157 14 157 15
si4_r01_m400.06 7 443 2704 302 2704 302
si4_r01_m400.04 7 26529 362532 NaN 362532 NaN
si4_r01_m400.00 7 33917 782024 NaN 782024 NaN
si4_r01_m400.05 7 1971 130826 NaN 130826 NaN
si4_r01_m400.09 7 11293 158280 NaN 158280 NaN
si2_b09m_m400.09 4 8 11 11 11 11
si2_b09m_m400.03 4 11 9 9 9 9
si2_b09m_m400.01 4 9 16 16 16 16
si2_b09m_m400.08 4 16 17 18 17 17
si2_b09m_m400.05 4 17 5 5 5 5
si2_b09m_m400.06 4 9 11 11 11 11
si2_b09m_m400.00 4 10 5 5 5 5
si2_b09m_m400.02 4 13 10 10 10 10
si2_b09m_m400.04 4 14 8 8 8 8
si2_b09m_m400.07 4 9 7 7 7 7
si2_b09_m800.07 3 90 3 3 3 3
si2_b09_m800.04 3 148 3 3 3 3
si2_b09_m800.05 3 123 3 3 3 3
si2_b09_m800.00 3 128 3 3 3 3
si2_b09_m800.02 3 127 3 3 3 3
si2_b09_m800.01 3 92 3 3 3 3
si2_b09_m800.08 3 122 3 3 3 3
si2_b09_m800.09 3 98 3 3 3 3
si2_b09_m800.03 3 90 3 3 3 3
si2_b09_m800.06 3 90 3 3 3 3
si6_b03_m400.04 3 34 3 3 3 3
si6_b03_m400.09 3 20 3 3 3 3
si6_b03_m400.02 3 20 3 3 3 3
si6_b03_m400.06 3 37 3 3 3 3
si6_b03_m400.05 3 20 3 3 3 3
si6_b03_m400.08 3 37 3 3 3 3
si6_b03_m400.01 3 20 3 3 3 3
si6_b03_m400.07 3 21 3 3 3 3
si6_b03_m400.03 3 34 3 3 3 3
si6_b03_m400.00 3 20 3 3 3 3
si2_r005_m600.03 7 4446 62234 NaN 62234 NaN
si2_r005_m600.00 7 218692 1178826 NaN 1178826 NaN
si2_r005_m600.06 7 10872 82608 NaN 82608 NaN
si2_r005_m600.01 7 168450 6738364 NaN 6738364 NaN
si2_r005_m600.04 7 11780 98906 NaN 98906 NaN
si2_r005_m600.09 7 789 13757 NaN 13757 NaN
si2_r005_m600.05 7 340364 10569909 NaN 10569909 NaN
si2_r005_m600.02 7 24908 3156061 NaN 3156061 NaN
si2_r005_m600.08 7 24082 424349 NaN 424349 NaN
si2_r005_m600.07 7 5580 180238 NaN 180238 NaN
si4_r01_m600.05 7 4217 34133 NaN 34133 NaN
si4_r01_m600.02 7 5125 80709 NaN 80709 NaN
si4_r01_m600.03 7 23495 257243 NaN 257243 NaN
si4_r01_m600.07 7 9448 510176 NaN 510176 NaN
si4_r01_m600.08 7 13847 212752 NaN 212752 NaN
si4_r01_m600.06 7 23209 707442 NaN 707442 NaN
si4_r01_m600.01 7 2979 1991 NaN 1991 NaN
si4_r01_m600.04 7 1620 7801 NaN 7801 NaN
si4_r01_m600.00 7 1490 2794 63 2794 107
si4_r01_m600.09 7 19077 332068 NaN 332068 NaN
